description,map,notes,queueId
,Custom games,,0
5v5 Blind Pick games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 430,2
5v5 Ranked Solo games,Summoner's Rift,Deprecated in favor of queueId 420,4
5v5 Ranked Premade games,Summoner's Rift,Game mode deprecated,6
Co-op vs AI games,Summoner's Rift,Deprecated in favor of queueId 32 and 33,7
3v3 Normal games,Twisted Treeline,Deprecated in patch 7.19 in favor of queueId 460,8
3v3 Ranked Flex games,Twisted Treeline,Deprecated in patch 7.19 in favor of queueId 470,9
5v5 Draft Pick games,Summoner's Rift,Deprecated in favor of queueId 400,14
5v5 Dominion Blind Pick games,Crystal Scar,Game mode deprecated,16
5v5 Dominion Draft Pick games,Crystal Scar,Game mode deprecated,17
Dominion Co-op vs AI games,Crystal Scar,Game mode deprecated,25
Co-op vs AI Intro Bot games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 830,31
Co-op vs AI Beginner Bot games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 840,32
Co-op vs AI Intermediate Bot games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 850,33
3v3 Ranked Team games,Twisted Treeline,Game mode deprecated,41
5v5 Ranked Team games,Summoner's Rift,Game mode deprecated,42
Co-op vs AI games,Twisted Treeline,Deprecated in patch 7.19 in favor of queueId 800,52
5v5 Team Builder games,Summoner's Rift,Game mode deprecated,61
5v5 ARAM games,Howling Abyss,Deprecated in patch 7.19 in favor of queueId 450,65
ARAM Co-op vs AI games,Howling Abyss,Game mode deprecated,67
One for All games,Summoner's Rift,Deprecated in patch 8.6 in favor of queueId 1020,70
1v1 Snowdown Showdown games,Howling Abyss,,72
2v2 Snowdown Showdown games,Howling Abyss,,73
6v6 Hexakill games,Summoner's Rift,,75
Ultra Rapid Fire games,Summoner's Rift,,76
One For All: Mirror Mode games,Howling Abyss,,78
Co-op vs AI Ultra Rapid Fire games,Summoner's Rift,,83
Doom Bots Rank 1 games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 950,91
Doom Bots Rank 2 games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 950,92
Doom Bots Rank 5 games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 950,93
Ascension games,Crystal Scar,Deprecated in patch 7.19 in favor of queueId 910,96
6v6 Hexakill games,Twisted Treeline,,98
5v5 ARAM games,Butcher's Bridge,,100
Legend of the Poro King games,Howling Abyss,Deprecated in patch 7.19 in favor of queueId 920,300
Nemesis games,Summoner's Rift,,310
Black Market Brawlers games,Summoner's Rift,,313
Nexus Siege games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 940,315
Definitely Not Dominion games,Crystal Scar,,317
ARURF games,Summoner's Rift,Deprecated in patch 7.19 in favor of queueId 900,318
All Random games,Summoner's Rift,,325
5v5 Draft Pick games,Summoner's Rift,,400
5v5 Ranked Dynamic games,Summoner's Rift,Game mode deprecated in patch 6.22,410
5v5 Ranked Solo games,Summoner's Rift,,420
5v5 Blind Pick games,Summoner's Rift,,430
5v5 Ranked Flex games,Summoner's Rift,,440
5v5 ARAM games,Howling Abyss,,450
3v3 Blind Pick games,Twisted Treeline,Deprecated in patch 9.23,460
3v3 Ranked Flex games,Twisted Treeline,Deprecated in patch 9.23,470
Blood Hunt Assassin games,Summoner's Rift,,600
Dark Star: Singularity games,Cosmic Ruins,,610
Clash games,Summoner's Rift,,700
Co-op vs. AI Intermediate Bot games,Twisted Treeline,Deprecated in patch 9.23,800
Co-op vs. AI Intro Bot games,Twisted Treeline,Deprecated in patch 9.23,810
Co-op vs. AI Beginner Bot games,Twisted Treeline,,820
Co-op vs. AI Intro Bot games,Summoner's Rift,,830
Co-op vs. AI Beginner Bot games,Summoner's Rift,,840
Co-op vs. AI Intermediate Bot games,Summoner's Rift,,850
URF games,Summoner's Rift,,900
Ascension games,Crystal Scar,,910
Legend of the Poro King games,Howling Abyss,,920
Nexus Siege games,Summoner's Rift,,940
Doom Bots Voting games,Summoner's Rift,,950
Doom Bots Standard games,Summoner's Rift,,960
Star Guardian Invasion: Normal games,Valoran City Park,,980
Star Guardian Invasion: Onslaught games,Valoran City Park,,990
PROJECT: Hunters games,Overcharge,,1000
Snow ARURF games,Summoner's Rift,,1010
One for All games,Summoner's Rift,,1020
Odyssey Extraction: Intro games,Crash Site,,1030
Odyssey Extraction: Cadet games,Crash Site,,1040
Odyssey Extraction: Crewmember games,Crash Site,,1050
Odyssey Extraction: Captain games,Crash Site,,1060
Odyssey Extraction: Onslaught games,Crash Site,,1070
Teamfight Tactics games,Convergence,,1090
Ranked Teamfight Tactics games,Convergence,,1100
Teamfight Tactics Tutorial games,Convergence,,1110
Teamfight Tactics test games,Convergence,,1111
Nexus Blitz games,Nexus Blitz,Deprecated in patch 9.2,1200
Nexus Blitz games,Nexus Blitz,,1300
Ultimate Spellbook games,Summoner's Rift,,1400
Tutorial 1,Summoner's Rift,,2000
Tutorial 2,Summoner's Rift,,2010
Tutorial 3,Summoner's Rift,,2020
